,A549_KO1,A549_KO2,A549_KO3,A549_WT1,A549_WT2,A549_WT3
SIRT6,4.1056147998465065,3.8375484312840777,4.038221478598542,4.4037123401244616,4.421651154233027,4.403532244482089
SIRT7,5.13882199068089,4.900188213321651,4.988739691354803,5.402568403986264,5.350394077369654,5.435320105210507
SIT1,0.0,0.0,0.025713701554296208,0.0,0.0,0.0
SIVA1,5.600366702925479,5.142847887300401,5.36304507528236,5.716038931934287,5.807953970148047,5.7222304579930725
SIX1,4.162220339095793,4.308778494588426,4.104574082095301,3.696267979517595,3.6075181655934925,3.789072912052539
SIX2,0.25616566408271896,0.2762572420254919,0.21642193063802784,0.06067440657597497,0.16730268581980337,0.0
SIX3,1.1949995327059992,1.1577675818865054,1.152413943412008,0.8263206082495078,0.6161823305372979,0.7760435931945867
SIX3-AS1,0.23466888509568282,0.18991857702364054,0.21642193063802784,0.11889972564240299,0.16730268581980337,0.03081452416109758
SIX4,3.604478991126192,3.738375138897068,3.51478317893681,3.303025749843375,3.178504876413766,3.331600524769403
SIX5,4.450273561687198,4.14059024095617,4.318624504849505,4.388999276814797,4.471811087233121,4.49477139188381
SIX6,0.0,0.0,0.0,0.0,0.0,0.0
SKA1,5.481059324627749,5.545106851613692,5.462303036399103,5.171059699128907,5.0581951793861295,5.176643996808626
SKA2,6.669936705192242,6.839984155356539,6.673349812990947,6.8097273577396535,6.546649984016292,6.752495312405398
SKA3,5.344104186637963,5.539662422895076,5.378095445233326,5.251343362008861,5.101034273028216,5.256217450372171
SKAP1,0.5452323103929728,0.31756321667778814,0.4993869810850558,0.4490088649952437,0.268947341017015,0.4958854607450943
SKAP2,6.033203665425271,6.251790934624366,6.105394764794,6.148715898765619,5.989686897454887,6.120306893522981
SKI,5.795595508101206,5.734769645603744,5.853217600458155,5.953045770582687,5.965761039124173,6.043530622304867
SKIDA1,2.7145872446578245,2.7513561485361735,2.845230781029656,2.6807973319334435,2.628700547735412,2.5766211632822804
SKIL,7.353664808802825,7.794438485765368,7.422202396577637,6.453814823846751,6.13475028589315,6.468998747013465
SKINT1L,0.12210059900644794,0.2970580538416232,0.147826345774065,0.11889972564240299,0.16730268581980337,0.2820095920657412
SKIV2L,8.319643005623993,8.1693535427344,8.283075896953713,8.33048344282195,8.481441672130734,8.380837710341412
SKOR1,0.09849321593473065,0.14473099945794748,0.19391718801933186,0.17486602214686636,0.0,0.17572568020479276
SKOR2,0.0,0.025152736015146678,0.025713701554296208,0.0,0.05795020443172968,0.0
SKP1,7.760671091337479,7.738151441431627,7.7399614640414045,7.659127569256477,7.568028214132434,7.630594274803093
SKP1P2,1.4400887409866168,1.1803350404605053,1.0307058095346082,1.067161170626035,0.7095357713716243,0.811968929514752
SKP2,5.347863469536697,5.403623228466928,5.36430528699149,5.194094683256351,5.089792195457368,5.1723318301473284
SLA,0.0,0.0,0.0,0.0,0.0,0.0
SLA2,0.4174984157962257,0.31756321667778814,0.5176243546686833,0.4261310935823375,0.49554849917180305,0.4510222392463208
SLAIN1,0.7859357360499493,0.9632673318938741,0.6557742700541224,1.8645808299987996,1.6747919866432415,1.763985043898218
SLAIN2,5.466724647629572,5.741899105692017,5.592210994763201,5.565185598013321,5.467275516003385,5.572540889623301
SLAMF1,0.025260834177482955,0.025152736015146678,0.0,0.030656147367772727,0.0,0.0
SLAMF6,0.0,0.0,0.05097711203864351,0.0,0.0,0.0
SLAMF7,1.5745038721412845,1.5092797049884465,1.4469886414050153,0.8945762657050326,0.780099385738185,0.8296015995840432
SLAMF8,0.0,0.0,0.0,0.0,0.0,0.0
SLAMF9,0.09849321593473065,0.09808218098210783,0.21642193063802784,0.0,0.029266050784017995,0.060984621216374005
SLBP,6.4567171190691575,6.489472773089955,6.45711295833452,6.471031536722235,6.465337003314809,6.480554879491271
SLC10A1,0.1681871533714397,0.2551521308601868,0.23858100476636343,0.17486602214686636,0.24419963735896105,0.22984616208854952
SLC10A2,0.0,0.0,0.0,0.0,0.0,0.0
SLC10A3,5.142433943314548,4.857064357638144,5.052670797744755,4.830209059528442,4.993774299541176,4.879331629785642
SLC10A4,3.2844422350574853,3.187102482693078,3.3792320695374753,3.3279239056369727,3.1320476780818534,3.3377748629261323
SLC10A5,0.3788248905171406,0.35771939851928003,0.3239629329446976,0.4261310935823375,0.24419963735896105,0.2561636229506376
SLC10A6,0.0,0.09808218098210783,0.025713701554296208,0.0,0.05795020443172968,0.03081452416109758
