,meanTumor,meanControl,log2FC,pvalue
ABCB5,0.22329031416738493,0.31204373051989087,-0.08875341635250594,0.05386532019596434
ABCB6,5.682176355371359,6.169144874538898,-0.48696851916753925,0.05223890930142235
ABCB7,5.539556010740488,5.394502073514758,0.1450539372257298,0.11061505539382191
ABCB8,5.9158951903321135,6.021967922174639,-0.10607273184252541,0.5793976973121999
ABCB9,3.373996172443073,3.5594967002962568,-0.1855005278531836,0.24316749878467683
ABCC1,9.008050695322424,9.169449190126272,-0.16139849480384783,0.03188642700203466
ABCC10,4.40621448204381,4.0466756360360066,0.35953884600780306,0.10858088754372716
ABCC11,0.3871171276056574,0.5114476645942122,-0.12433053698855479,0.33432148167737397
ABCC12,0.2642354344029648,0.3950153361531423,-0.1307799017501775,0.24314434928845732
ABCC13,0.012630417088741477,0.014633025392008997,-0.00200260830326752,0.9269391630728945
ABCC2,9.139987983954004,9.705698288805571,-0.5657103048515673,0.012132849558888392
ABCC3,9.251785171656923,9.131868996339318,0.11991617531760568,0.04990014658835867
ABCC4,6.965817476024119,7.338311155783653,-0.3724936797595335,0.04254899938382312
ABCC5,5.345181277283645,5.123948468676788,0.22123280860685668,0.01713797652112986
ABCC5-AS1,0.0,0.0,0.0,1.0
ABCC6,2.4921951384661813,2.0484202575960273,0.44377488087015404,0.02441362707439184
ABCC6P1,0.644498612682892,0.6175388084847653,0.026959804198126713,0.6615209436653285
ABCC6P2,0.5088106918652797,0.7999521236516631,-0.2911414317863834,0.04770220703976673
ABCC8,2.521359280672073,2.408114098937373,0.11324518173470022,0.32416838162554373
ABCC9,0.35830295386271843,0.4403300381965457,-0.08202708433382727,0.15919640287666526
ABCD1,2.9267171497616555,3.393477529073577,-0.46676037931192127,0.0575940796305698
ABCD2,0.4167155523548475,0.17139364239391616,0.2453219099609313,0.015274525530064129
ABCD3,6.299613791127145,6.544364397067136,-0.24475060593999132,0.23491281860757232
ABCD4,5.282899132924409,4.8603233341261936,0.4225757987982153,0.021534460435130846
ABCE1,7.681693948625045,7.402171487766377,0.2795224608586686,0.28538657518049315
ABCF1,9.822045338751362,10.18252175406161,-0.36047641531024865,0.0266480443918447
ABCF2,7.595971380275596,7.622023387559034,-0.026052007283437817,0.7800958158062572
ABCF3,5.2762592080227275,5.43254557133678,-0.15628636331405232,0.31815727336888944
ABCG1,1.2369111110231443,1.7797243959068678,-0.5428132848837235,0.010318439891802726
ABCG2,5.714842349777959,7.3100180299937545,-1.595175680215796,0.0002294869122266689
ABCG4,0.6773024789859798,0.6365418993231869,0.040760579662792895,0.7249180244246768
ABCG5,0.08628764083299174,0.07337477842558666,0.012912862407405079,0.5339146697976588
ABCG8,0.08628764083299174,0.044303175899751204,0.04198446493324054,0.14537827191595723
ABHD1,1.2313411130587855,1.2704466036197033,-0.03910549056091783,0.8068537357942607
ABHD10,5.407155626818865,5.19754853609772,0.20960709072114447,0.17465329337682733
ABHD11,3.9121742126828485,4.068740127776241,-0.15656591509339268,0.22691719023514328
